Model,Input/Channel,DSP 1,DSP 2,DSP 3,DSP 4,DSP 5,DSP 6,DSP 7,DSP 8,DSP 9,DSP 10,DSP 11,DSP 12,DSP 13,DSP 14,DSP 15,Output/Channel,,
"DM-NAX-4ZSA-50
(Friendly name)",Digital S/PDIF in,Gain,Mute,"Routing Matrix
19 x 10  ",Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 1L (Amp),,
,Digital Toslink in,Gain,Mute,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 1R (Amp),,
,Analog in 1 (RCA 1L),Gain,Mute,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 2L (Amp),,
,Analog in 2 (RCA 1R),Gain,Mute,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 2R (Amp),,
,Analog in 3 (RCA 2L),Gain,Mute,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 3L (Amp),,
,Analog in 4 (RCA 2R),Gain,Mute,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 3R (Amp),,
,AES67 in 1L,,,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 4L (Amp),,
,AES67 in 1R,,,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 4R (Amp),,
,AoIP in 1L,,,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 5L (RCA L),,
,AoIP in 1R,,,,Signal Detect,Tone Settings,Balance,Output Settings,Mono/Stereo,Grouping,Speaker Config,Casting/Streaming,PEQ-10,Volume,Delay,Mute,Zone 5R (RCA R),,
,AoIP in 2L,,,,,,,,,,,,,,,,Digital S/PDIF out,,
,AoIP in 2R,,,,,,,,,,,,,,,,Digital Toslink out,,
,AoIP in 3L,,,,,,,,,,,,,,,,S/PDIF NAX Tx,,
,AoIP in 3R,,,,,,,,,,,,,,,,Toslink NAX Tx,,
,AoIP in 4L,,,,,,,,,,,,,,,,RCA1 NAX Tx,,
,AoIP in 4R,,,,,,,,,,,,,,,,RCA2 NAX Tx,,
,AoIP in 5L,,,,,,,,,,,,,,,,MediaStream 1 Tx,,
,AoIP in 5R,,,,,,,,,,,,,,,,MediaStream 2 Tx,,
,SigGen,,,,,,,,,,,,,,,,MediaStream 3 Tx,,
,,,,,,,,,,,,,,,,,MediaStream 4 Tx,,
,,,,,,,,,,,,,,,,,MediaStream 5 Tx,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Graphical Window Required,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,