Model,Input/Channel,DSP 1,DSP 2,DSP 4,DSP 6,DSP 7,DSP 8,DSP 9,DSP 10,DSP 11,DSP 12,DSP 13,DSP 14,DSP 15,DSP 16,Output/Channel,,,,
"DM-NAX-AMP-X300
(Friendly name)",Analog In 1,Mic/Line select,48V on/off,Gain,Level,Mute,9 x 16 Matrix Mixer w/ Ducking,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,Speaker Config,Amp Out 1,,,,
,Analog in 2,Mic/Line select,48V on/off,Gain,Level,Mute,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,Speaker Config,Amp Out 2,,,,
,Analog in 3,Mic/Line select,48V on/off,Gain,Level,Mute,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,Speaker Config,Amp Out 3,,,,
,Analog in 4,Mic/Line select,48V on/off,Gain,Level,Mute,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,Speaker Config,Amp Out 4,,,,
,AoIP in 1L,,,,Level,Mute,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,Line Out 1,,,,
,AoIP in 1R,,,,Level,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,Line Out 2,,,,
,AoIP in 2L,,,,Level,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,Line Out 3,,,,
,AoIP in 2R,,,,Level,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,Line Out 4,,,,
,Signal Generator,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 1L,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 1R,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 2L,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 2R,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 3L,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 3R,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 4L,,,,
,,,,,,,,Balance,AGC,Tone Settings,PEQ-10,Volume,Delay,Mute,,AoIP 4R,,,,